"age","year","doy","p_mature","model"
7,2015,182,0.996985183783397,"Spatial + temperature"
7,2015,278,0.999316908219097,"Spatial + temperature"
7,2016,182,0.985303684575326,"Spatial + temperature"
7,2016,278,0.996639683232047,"Spatial + temperature"
7,2017,182,0.99668685964777,"Spatial + temperature"
7,2017,278,0.99924914068873,"Spatial + temperature"
7,2018,182,0.997427741212316,"Spatial + temperature"
7,2018,278,0.999417382130184,"Spatial + temperature"
7,2019,182,0.992597102572172,"Spatial + temperature"
7,2019,278,0.998316935138208,"Spatial + temperature"
7,2020,182,0.997349256421749,"Spatial + temperature"
7,2020,278,0.999399568741894,"Spatial + temperature"
7,2021,182,0.99734297625503,"Spatial + temperature"
7,2021,278,0.999398143263125,"Spatial + temperature"
7,2022,182,0.997260261004069,"Spatial + temperature"
7,2022,278,0.999379367173584,"Spatial + temperature"
7,2023,182,0.997085662704275,"Spatial + temperature"
7,2023,278,0.999339726023859,"Spatial + temperature"
7,2024,182,0.992378567178751,"Spatial + temperature"
7,2024,278,0.998266955831809,"Spatial + temperature"
8,2003,182,0.998697392017119,"Spatial + temperature"
8,2003,278,0.999705248870647,"Spatial + temperature"
8,2004,182,0.998499947038758,"Spatial + temperature"
8,2004,278,0.999660519547181,"Spatial + temperature"
8,2005,182,0.998682609221391,"Spatial + temperature"
8,2005,278,0.999701900439688,"Spatial + temperature"
8,2006,182,0.997518127222976,"Spatial + temperature"
8,2006,278,0.999437894005841,"Spatial + temperature"
8,2007,182,0.998251220512667,"Spatial + temperature"
8,2007,278,0.999604153382329,"Spatial + temperature"
8,2008,182,0.993379008529944,"Spatial + temperature"
8,2008,278,0.998495618793636,"Spatial + temperature"
8,2009,182,0.996889753275203,"Spatial + temperature"
8,2009,278,0.999295233566882,"Spatial + temperature"
8,2010,182,0.998484891870472,"Spatial + temperature"
8,2010,278,0.999657108377247,"Spatial + temperature"
8,2011,182,0.996464123787355,"Spatial + temperature"
8,2011,278,0.999198523386218,"Spatial + temperature"
8,2012,182,0.995211066681592,"Spatial + temperature"
8,2012,278,0.998913436445201,"Spatial + temperature"
8,2013,182,0.996525468923284,"Spatial + temperature"
8,2013,278,0.999212465973636,"Spatial + temperature"
8,2014,182,0.998366919633242,"Spatial + temperature"
8,2014,278,0.999630375708065,"Spatial + temperature"
8,2015,182,0.998435342022053,"Spatial + temperature"
8,2015,278,0.999645880909608,"Spatial + temperature"
8,2016,182,0.992356867777957,"Spatial + temperature"
8,2016,278,0.998261992224639,"Spatial + temperature"
8,2017,182,0.998296203181008,"Spatial + temperature"
8,2017,278,0.999614348920714,"Spatial + temperature"
8,2018,182,0.998713813755831,"Spatial + temperature"
8,2018,278,0.99970896844643,"Spatial + temperature"
8,2019,182,0.996249443972847,"Spatial + temperature"
8,2019,278,0.999149720276868,"Spatial + temperature"
8,2020,182,0.998655271000417,"Spatial + temperature"
8,2020,278,0.999695707894352,"Spatial + temperature"
8,2021,182,0.998663958582546,"Spatial + temperature"
8,2021,278,0.999697675799418,"Spatial + temperature"
8,2022,182,0.998609622940034,"Spatial + temperature"
8,2022,278,0.999685367292133,"Spatial + temperature"
8,2023,182,0.998511978212563,"Spatial + temperature"
8,2023,278,0.999663245489278,"Spatial + temperature"
8,2024,182,0.996092570138622,"Spatial + temperature"
8,2024,278,0.999114047900533,"Spatial + temperature"
9,2003,182,0.999154598348905,"Spatial + temperature"
9,2003,278,0.999808772199872,"Spatial + temperature"
9,2004,182,0.999009686235324,"Spatial + temperature"
9,2004,278,0.999775968289069,"Spatial + temperature"
9,2005,182,0.999141165204876,"Spatial + temperature"
9,2005,278,0.99980573163427,"Spatial + temperature"
9,2006,182,0.998369544274881,"Spatial + temperature"
9,2006,278,0.999630970508588,"Spatial + temperature"
9,2007,182,0.998846397751012,"Spatial + temperature"
9,2007,278,0.999738995674559,"Spatial + temperature"
9,2008,182,0.99562179089342,"Spatial + temperature"
9,2008,278,0.999006942721411,"Spatial + temperature"
9,2009,182,0.997931872728555,"Spatial + temperature"
9,2009,278,0.999531751226837,"Spatial + temperature"
9,2010,182,0.99898270336423,"Spatial + temperature"
9,2010,278,0.9997698593343,"Spatial + temperature"
9,2011,182,0.997680157817883,"Spatial + temperature"
9,2011,278,0.999474657449002,"Spatial + temperature"
9,2012,182,0.996858094207934,"Spatial + temperature"
9,2012,278,0.999288042292883,"Spatial + temperature"
9,2013,182,0.997697961434396,"Spatial + temperature"
9,2013,278,0.999478696383644,"Spatial + temperature"
9,2014,182,0.998921318908617,"Spatial + temperature"
9,2014,278,0.999755960867766,"Spatial + temperature"
9,2015,182,0.998949687213,"Spatial + temperature"
9,2015,278,0.999762384090196,"Spatial + temperature"
9,2016,182,0.994873895847892,"Spatial + temperature"
9,2016,278,0.99883663086589,"Spatial + temperature"
9,2017,182,0.998866032430836,"Spatial + temperature"
9,2017,278,0.999743441953997,"Spatial + temperature"
9,2018,182,0.999167634341556,"Spatial + temperature"
9,2018,278,0.99981172281056,"Spatial + temperature"
9,2019,182,0.997545854259468,"Spatial + temperature"
9,2019,278,0.999444185703326,"Spatial + temperature"
9,2020,182,0.999117741473489,"Spatial + temperature"
9,2020,278,0.99980042956762,"Spatial + temperature"
9,2021,182,0.99913154083755,"Spatial + temperature"
9,2021,278,0.999803553138845,"Spatial + temperature"
9,2022,182,0.999088259877231,"Spatial + temperature"
9,2022,278,0.999793756002651,"Spatial + temperature"
9,2023,182,0.999017807109714,"Spatial + temperature"
9,2023,278,0.999777806814898,"Spatial + temperature"
9,2024,182,0.997413595986867,"Spatial + temperature"
9,2024,278,0.999414171803455,"Spatial + temperature"
10,2003,182,0.999289606995715,"Spatial + temperature"
10,2003,278,0.999839327627514,"Spatial + temperature"
10,2004,182,0.999153717103572,"Spatial + temperature"
10,2004,278,0.999808572733672,"Spatial + temperature"
10,2005,182,0.999275337545968,"Spatial + temperature"
10,2005,278,0.999836098438989,"Spatial + temperature"
10,2006,182,0.998614556543118,"Spatial + temperature"
10,2006,278,0.999686484930777,"Spatial + temperature"
10,2007,182,0.999015648385052,"Spatial + temperature"
10,2007,278,0.99977731809256,"Spatial + temperature"
10,2008,182,0.996259013096065,"Spatial + temperature"
10,2008,278,0.999151895969622,"Spatial + temperature"
10,2009,182,0.998222191433864,"Spatial + temperature"
10,2009,278,0.999597573424427,"Spatial + temperature"
10,2010,182,0.99911627915527,"Spatial + temperature"
10,2010,278,0.999800098558954,"Spatial + temperature"
10,2011,182,0.998032201208575,"Spatial + temperature"
10,2011,278,0.999554501443908,"Spatial + temperature"
10,2012,182,0.997337054671761,"Spatial + temperature"
