"age","year","M2"
"17","2053",0
"18","2053",0
"19","2053",0
"20","2053",0
"1","2054",2.79156282253553
"2","2054",0.184403553906235
"3","2054",0.100075431393185
"4","2054",0.0994900066661494
"5","2054",0.136336703954871
"6","2054",0
"7","2054",0
"8","2054",0
"9","2054",0
"10","2054",0
"11","2054",0
"12","2054",0
"13","2054",0
"14","2054",0
"15","2054",0
"16","2054",0
"17","2054",0
"18","2054",0
"19","2054",0
"20","2054",0
"1","2055",3.0418416627428
"2","2055",0.210127480490422
"3","2055",0.106221930110073
"4","2055",0.103472262590105
"5","2055",0.146454482267895
"6","2055",0
"7","2055",0
"8","2055",0
"9","2055",0
"10","2055",0
"11","2055",0
"12","2055",0
"13","2055",0
"14","2055",0
"15","2055",0
"16","2055",0
"17","2055",0
"18","2055",0
"19","2055",0
"20","2055",0
"1","2056",3.29825541559335
"2","2056",0.23593251976593
"3","2056",0.114980323062491
"4","2056",0.110350445606273
"5","2056",0.159882310241323
"6","2056",0
"7","2056",0
"8","2056",0
"9","2056",0
"10","2056",0
"11","2056",0
"12","2056",0
"13","2056",0
"14","2056",0
"15","2056",0
"16","2056",0
"17","2056",0
"18","2056",0
"19","2056",0
"20","2056",0
"1","2057",3.55744453725868
"2","2057",0.261467178438273
"3","2057",0.126077457978484
"4","2057",0.119871855918296
"5","2057",0.176232855419197
"6","2057",0
"7","2057",0
"8","2057",0
"9","2057",0
"10","2057",0
"11","2057",0
"12","2057",0
"13","2057",0
"14","2057",0
"15","2057",0
"16","2057",0
"17","2057",0
"18","2057",0
"19","2057",0
"20","2057",0
"1","2058",3.8164370099104
"2","2058",0.286397502106841
"3","2058",0.139237422073416
"4","2058",0.131759571249711
"5","2058",0.195132641665395
"6","2058",0
"7","2058",0
"8","2058",0
"9","2058",0
"10","2058",0
"11","2058",0
"12","2058",0
"13","2058",0
"14","2058",0
"15","2058",0
"16","2058",0
"17","2058",0
"18","2058",0
"19","2058",0
"20","2058",0
"1","2059",4.0726694774437
"2","2059",0.310448428503768
"3","2059",0.154177916757983
"4","2059",0.145735332105065
"5","2059",0.216195399516547
"6","2059",0
"7","2059",0
"8","2059",0
"9","2059",0
"10","2059",0
"11","2059",0
"12","2059",0
"13","2059",0
"14","2059",0
"15","2059",0
"16","2059",0
"17","2059",0
"18","2059",0
"19","2059",0
"20","2059",0
"1","2060",4.3239853254543
"2","2060",0.33340980510911
"3","2060",0.170607623580699
"4","2060",0.161511008417431
"5","2060",0.239023328039292
"6","2060",0
"7","2060",0
"8","2060",0
"9","2060",0
"10","2060",0
"11","2060",0
"12","2060",0
"13","2060",0
"14","2060",0
"15","2060",0
"16","2060",0
"17","2060",0
"18","2060",0
"19","2060",0
"20","2060",0
"1","2061",4.56861060839751
"2","2061",0.35513257779434
"3","2061",0.188236240210842
"4","2061",0.178787257347857
"5","2061",0.263230034488852
"6","2061",0
"7","2061",0
"8","2061",0
"9","2061",0
"10","2061",0
"11","2061",0
"12","2061",0
"13","2061",0
"14","2061",0
"15","2061",0
"16","2061",0
"17","2061",0
"18","2061",0
"19","2061",0
"20","2061",0
"1","2062",4.80512807238736
"2","2062",0.375518699476537
"3","2062",0.206783147551193
"4","2062",0.197266280295796
"5","2062",0.288448937888397
"6","2062",0
"7","2062",0
"8","2062",0
"9","2062",0
"10","2062",0
"11","2062",0
"12","2062",0
"13","2062",0
"14","2062",0
"15","2062",0
"16","2062",0
"17","2062",0
"18","2062",0
"19","2062",0
"20","2062",0
"1","2063",5.03244613411294
"2","2063",0.394513929970553
"3","2063",0.225983080898164
"4","2063",0.216660368979177
"5","2063",0.31433860454158
"6","2063",0
"7","2063",0
"8","2063",0
"9","2063",0
"10","2063",0
"11","2063",0
"12","2063",0
"13","2063",0
"14","2063",0
"15","2063",0
"16","2063",0
"17","2063",0
"18","2063",0
"19","2063",0
"20","2063",0
"1","2064",5.24976359790682
"2","2064",0.412101261927594
"3","2064",0.245590029133015
"4","2064",0.236697599083333
"5","2064",0.340586565591181
"6","2064",0
"7","2064",0
"8","2064",0
"9","2064",0
"10","2064",0
"11","2064",0
"12","2064",0
"13","2064",0
"14","2064",0
"15","2064",0
"16","2064",0
"17","2064",0
"18","2064",0
"19","2064",0
"20","2064",0
"1","2065",5.45653343343948
"2","2065",0.428293899417688
"3","2065",0.265380060807444
"4","2065",0.25712586730374
"5","2065",0.366912157291428
"6","2065",0
"7","2065",0
"8","2065",0
"9","2065",0
