Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_polish,1.467,U,12,8,1989
CAN_polish,1.514,U,12,8,1989
CAN_polish,1.548,U,12,8,1989
CAN_polish,1.681,U,12,8,1989
CAN_polish,1.145,U,16,8,1989
CAN_polish,2.307,U,19,8,1989
CAN_jv,0.332,U,3,6,1990
CAN_jv,0.445,U,3,6,1990
CAN_jv,0.475,U,3,6,1990
CAN_jv,0.512,U,3,6,1990
CAN_jv,0.53,U,3,6,1990
CAN_jv,0.534,U,3,6,1990
CAN_jv,0.407,U,6,6,1990
CAN_jv,0.424,U,6,6,1990
CAN_jv,0.473,U,6,6,1990
CAN_jv,0.48,U,6,6,1990
CAN_jv,0.491,U,6,6,1990
CAN_jv,0.496,U,6,6,1990
CAN_jv,0.503,U,6,6,1990
CAN_jv,0.51,U,6,6,1990
CAN_jv,0.511,U,6,6,1990
CAN_jv,0.528,U,6,6,1990
CAN_jv,0.548,U,6,6,1990
CAN_jv,0.551,U,6,6,1990
CAN_jv,0.554,U,6,6,1990
CAN_jv,0.556,U,6,6,1990
CAN_jv,0.565,U,6,6,1990
CAN_jv,0.565,U,6,6,1990
CAN_jv,0.575,U,6,6,1990
CAN_jv,0.581,U,6,6,1990
CAN_jv,0.581,U,6,6,1990
CAN_jv,0.59,U,6,6,1990
CAN_jv,0.591,U,6,6,1990
CAN_jv,0.594,U,6,6,1990
CAN_jv,0.607,U,6,6,1990
CAN_jv,0.612,U,6,6,1990
CAN_jv,0.615,U,6,6,1990
CAN_jv,0.624,U,6,6,1990
CAN_jv,0.631,U,6,6,1990
CAN_jv,0.634,U,6,6,1990
CAN_jv,0.639,U,6,6,1990
CAN_jv,0.645,U,6,6,1990
CAN_jv,0.658,U,6,6,1990
CAN_jv,0.658,U,6,6,1990
CAN_jv,0.658,U,6,6,1990
CAN_jv,0.668,U,6,6,1990
CAN_jv,0.675,U,6,6,1990
CAN_jv,0.704,U,6,6,1990
CAN_jv,0.709,U,6,6,1990
CAN_jv,0.726,U,6,6,1990
CAN_jv,0.755,U,6,6,1990
CAN_jv,0.762,U,6,6,1990
CAN_jv,0.762,U,6,6,1990
CAN_jv,0.805,U,6,6,1990
CAN_jv,0.808,U,6,6,1990
CAN_jv,0.817,U,6,6,1990
CAN_jv,0.823,U,6,6,1990
CAN_jv,0.825,U,6,6,1990
CAN_jv,0.825,U,6,6,1990
CAN_jv,1.191,U,6,6,1990
CAN_jv,1.262,U,6,6,1990
CAN_jv,1.285,U,6,6,1990
CAN_jv,1.464,U,6,6,1990
CAN_jv,1.619,U,6,6,1990
CAN_jv,0.618,U,7,6,1990
CAN_jv,0.724,U,7,6,1990
CAN_jv,1.169,U,7,6,1990
CAN_jv,0.649,U,8,6,1990
CAN_jv,0.668,U,8,6,1990
CAN_jv,0.458,U,10,6,1990
CAN_jv,0.517,U,10,6,1990
CAN_jv,0.556,U,10,6,1990
CAN_jv,0.562,U,10,6,1990
CAN_jv,0.573,U,10,6,1990
CAN_jv,0.587,U,10,6,1990
CAN_jv,0.597,U,10,6,1990
CAN_jv,0.626,U,10,6,1990
CAN_jv,0.627,U,10,6,1990
CAN_jv,0.632,U,10,6,1990
CAN_jv,0.636,U,10,6,1990
CAN_jv,0.642,U,10,6,1990
CAN_jv,0.644,U,10,6,1990
CAN_jv,0.644,U,10,6,1990
CAN_jv,0.65,U,10,6,1990
CAN_jv,0.653,U,10,6,1990
CAN_jv,0.66,U,10,6,1990
CAN_jv,0.663,U,10,6,1990
CAN_jv,0.67,U,10,6,1990
CAN_jv,0.686,U,10,6,1990
CAN_jv,0.7,U,10,6,1990
CAN_jv,0.713,U,10,6,1990
CAN_jv,0.715,U,10,6,1990
CAN_jv,0.72,U,10,6,1990
CAN_jv,0.727,U,10,6,1990
CAN_jv,0.73,U,10,6,1990
CAN_jv,0.732,U,10,6,1990
CAN_jv,0.74,U,10,6,1990
CAN_jv,0.756,U,10,6,1990
CAN_jv,0.766,U,10,6,1990
CAN_jv,0.77,U,10,6,1990
CAN_jv,0.777,U,10,6,1990
CAN_jv,0.78,U,10,6,1990
CAN_jv,0.845,U,10,6,1990
CAN_jv,0.848,U,10,6,1990
CAN_jv,0.901,U,10,6,1990
CAN_jv,0.911,U,10,6,1990
CAN_jv,0.924,U,10,6,1990
CAN_jv,0.927,U,10,6,1990
CAN_jv,0.957,U,10,6,1990
CAN_jv,0.998,U,10,6,1990
CAN_jv,1.049,U,10,6,1990
CAN_jv,1.069,U,10,6,1990
CAN_jv,1.069,U,10,6,1990
CAN_jv,1.099,U,10,6,1990
CAN_jv,1.125,U,10,6,1990
CAN_jv,1.14,U,10,6,1990
CAN_jv,1.165,U,10,6,1990
CAN_jv,1.22,U,10,6,1990
CAN_jv,1.24,U,10,6,1990
CAN_jv,1.269,U,10,6,1990
CAN_jv,1.27,U,10,6,1990
CAN_jv,1.29,U,10,6,1990
CAN_jv,1.305,U,10,6,1990
CAN_jv,1.346,U,10,6,1990
